Movie ID,Animation,Drama,Biography,War,Documentary,News,Average Rating,actors
tt10309552,no,no,no,no,no,no,5,"Brea Grant, Tara Perry, Scott Dean, Chloe Farnworth"
tt10314450,no,yes,no,no,no,no,5,"Steve Wilsher, Jordan Yale Levine, James McDougall, Lulu Wilson"
tt10324122,no,no,no,no,no,no,5,"Olivia Deeble, Ashley Liao, Peyton Elizabeth Lee"
tt10329614,no,no,no,no,no,no,6,"Kim Newman, Danny Lee Wynter, Paul Morris, Sean Buchanan, James Berkery"
tt10334148,no,no,no,no,no,no,5,"Michael Ball, Alfie Boe, Jaymes Sygrove"
tt10342228,no,yes,no,no,no,no,6,"Corey Thompson, Michael Hawash, Shawn Welling, Joy Willard"
tt10342730,no,yes,no,no,no,no,5,"C.J. Lusby, Sebastian MacLean, Marisol Nichols, Dan Petronijevic, Jim Chad, Leila Leigh, Christopher Tai, Genelle Williams, Trevor Gretzky, Max Minghella, Morgan David Jones, Luke Gallo, Carvin Winans, Brian Cook, Nneka Elliott, Young Thug"
tt10345590,no,no,no,no,no,no,5,"Camille Japy, Cartman, Rachid Yous, Léonie Souchaud"
tt10394738,no,no,yes,no,yes,no,7,"Greta Thunberg, Svante Thunberg"
tt10418662,no,yes,no,no,no,no,4,"Alex House, Katerina Taxia, Elias Edraki, Ariana Greenblatt"
tt1043726,no,no,no,no,no,no,4,"Nikolai Sotirov, George Zlatarev, Liam Garrigan, Svezhen Mladenov, Rick Yudt, Roxanne McKee, Spencer Wilding, Sarai Givaty, Nikki Stanghetti, Liam McIntyre, Mariah Gale, Dimo Alexiev, Yavor Baharov, Vincent Fallow"
tt10456740,no,no,no,no,no,no,6,"Anne Serra, Rod Paradot"
tt10481868,no,no,no,no,no,no,3,"Mark Neilson, Zoë Robins, Brittany O'Grady, Caleb Eberhardt, Madeleine Adams, Aleyse Shannon"
tt10514222,no,yes,no,no,no,no,6,"Gary Archer, Todd Black, Branford Marsalis, Ruben Santiago-Hudson, Jeremy Shamos, Paul Urmson, George C. Wolfe, Frederick Zollo, Dusan Brown, Taylour Paige, Ryan Harpole"
tt10515988,no,no,no,no,no,no,5,Roland Buck III
tt10620868,no,yes,no,no,no,no,6,"Jae-hyeong Jeon, Yoo Ah-in, Hyun-Wook Lee"
tt10627584,no,yes,no,no,no,no,6,"Massimiliano Rossi, Laura Pausini, Pietro Manigrasso, Abril Zamora, Guè Pequeno"
tt1067765,no,yes,no,no,no,no,6,"Scott Coffey, Armando Riesco, Chris Riggi"
tt1067773,no,no,no,no,no,no,5,"Philippe Wee, Queenie Tai"
tt10698174,no,yes,no,no,no,no,6,Lola Petticrew
tt1072748,no,yes,no,no,no,no,5,"Tyler Coppin, Tom Vaughan, Benedict Carver, Adam Bowes"
tt10736580,no,no,no,no,no,no,5,Colby O'Donis
tt1082807,no,no,no,no,no,no,6,"Rusty Schwimmer, Silvia De Dios, Álvaro García, Yvonne Kenny, Kristina Lilley, Valentine Miele, Cesar Salazar, Brent Sexton, Benjamin Byron Davis, Dan Clifton, Ricardo Hoyos, Josh Brener, Marisa Velez, Monica Giraldo"
tt1085492,no,no,no,no,no,no,4,"Gia Mantegna, Martin Blencowe"
tt10856726,no,no,no,no,yes,no,6,Stormi Webster
