Movie ID,Animation,Drama,Biography,War,Documentary,News,Average Rating,actors
tt12246266,no,yes,no,no,no,no,7,"Ali Suliman, Anna Unterberger"
tt12421878,no,yes,no,no,no,no,7,"Léon Lambers, Jamie Munsey, Amy Homberg"
tt12519030,no,no,no,no,no,no,7,"Jarmo Puskala, Sophia Heikkilä"
tt12530960,no,yes,no,no,no,no,7,"Eri Murakawa, Yûki Furukawa"
tt12719846,no,yes,no,no,no,no,7,"Gusztáv Dietz, Éva Füsti Molnár, Anikó Haffner, Xénia Molnár, Ferenc Fandi, Anita Fábián, Réka Derzsi, Zoltán Rák, Dániel Baki, Áron Darabont"
tt12731980,no,no,no,no,no,no,7,"Michael Hagerty, Scott Haze, Gavin Lewis"
tt12735306,no,yes,no,no,no,no,7,Chengpeng Dong
tt12789558,no,yes,yes,no,no,no,7,"Ciarán Hinds, Joyce Branagh, James O'Donnell, Josie Walker, Haris Zambarloukos, Olivia Flanagan, Caitriona Balfe, Colin Morgan"
tt12801262,yes,no,no,no,no,no,7,"Marco Barricelli, Emma Berman, Giacomo Gianniotti, Jack Dylan Grazer, Saverio Raimondo"
tt12856788,no,no,no,no,no,no,7,"Mithun Purandare, Palak Singh"
tt12865416,yes,no,no,no,yes,no,9,Emil Constantinescu
tt13013820,no,yes,no,no,no,no,7,Faisal Khan
tt13033542,no,no,no,no,no,no,8,Suppasit Jongcheveevat
tt13049516,no,no,no,no,no,no,7,"Lar Park-Lincoln, Thomas Rivas"
tt13107800,no,yes,no,no,no,no,7,"Claudio Bigagli, Elvio La Pira, Martina Catalfamo"
tt13150564,no,no,yes,no,yes,no,7,Gabriela Sabatini
tt13182756,no,yes,yes,no,no,no,7,Nicholas Ralph
tt13217694,no,yes,no,no,no,no,8,Namewee
tt13324510,no,no,no,no,no,no,7,Amirreza Alizadeh
tt13327258,no,no,no,no,no,no,7,"Matthew Baume, Jinkx Monsoon, Brendan Haley"
tt13328824,no,yes,no,no,no,no,7,Petri Poikolainen
tt13424422,yes,no,no,no,no,no,7,"Yoshitsugu Matsuoka, Inori Minase"
tt13612010,no,yes,no,no,no,no,7,Unique Priscilla
tt13622146,no,yes,no,no,yes,no,7,Jonathan Tisch
tt13648212,no,yes,no,no,no,no,7,"Kumrije Hoxha, Manon Emmenegger, Labinot Lajçi, Shkelqim Islami"
tt13679164,no,no,no,no,no,no,9,"Jisoo Kim, Rosé"
tt13761148,no,yes,no,no,no,no,7,Ismail Hacioglu
tt13834788,no,yes,no,no,no,no,7,"Arawinda Kirana, Dimas Aditya"
tt13882736,no,no,no,no,no,no,7,Sverrir Þór Sverrisson
tt13885592,no,yes,no,no,no,no,7,"Gordon Muehle, Michael Witte, Marie Rosa Tietjen, Kristin Suckow"
tt13932304,no,yes,no,no,no,no,7,"Sara Ciocca, Filippo Dini, Astrid Casali, Maurizio Lastrico"
tt13982708,no,yes,no,no,no,no,7,"Hilje Murel, Peeter Simm, Aarne Soro, Rasmus Ermel, Kalju Orro, Anne Reemann, Tarvo Vridolin"
tt14061478,no,no,no,no,no,no,8,Ryan Shepherd
tt14065740,no,no,no,no,no,no,8,Bill de Blasio
tt14087490,no,no,no,no,no,no,7,Brooke Mueller
tt14152756,no,no,no,no,yes,no,8,George Monbiot
tt14194198,no,no,no,no,no,no,7,Vina Zhang
tt14253846,no,no,no,no,no,no,7,"Sune Kølster, Lea Baastrup Rønne, Menno Kohler, Mads Kruse"
tt14383680,no,yes,no,no,no,no,7,"Octavian Strunila, Anca Dumitra, Andreea Gramosteanu"
tt14474588,no,yes,no,no,no,no,7,Saygin Soysal
tt14500584,no,no,no,no,no,no,7,"Aki Asakura, Chikara Honda"
tt1450321,no,no,no,no,no,no,7,"Alexander Denk, Kate Dickie, Dr. Alban, Robin Laing, Shauna Macdonald, James McAvoy, Spero Stamboulis, Trudie Styler, Irvine Welsh, Jaakko Salovaara, Eliot Sumner, Billy Ocean, Sanjeev Kohli, Paul Campbell, Joy McAvoy, Darude, Emun Elliott, China Soul, Gato Scatena, Ashley McFarlane, Duffy"
tt1454468,no,yes,no,no,no,no,7,"Sandra Bullock, Christopher DeFaria, Neil Corbould, Adrian Getley, David Heyman, Peter Weireter, Bruce Winant, Ben Thompson, Richard Baker, Amy Warren, Lisa Hannigan"
tt14577022,no,yes,no,no,no,no,8,Zaza Chanturiya
tt14577742,no,yes,no,no,no,no,8,"Nermin Tulic, Zala Djuric"
tt1476425,no,yes,no,no,no,no,8,"Kiva Dawson, George Katt, Rich Bryant, Waylon Payne, Ryan Curtis"
tt14776918,no,yes,no,no,no,no,7,Lee Hye-yeong
tt14834542,no,yes,no,no,no,no,7,"Olga Sarzynska, Antoni Barlowski, Miron Jagniewski, Krzysztof Wrona, Kamila Jarosinska, Mateusz Król, Barbara Garstka, Malgorzata Mikolajczak"
tt15085802,no,no,no,no,yes,no,7,Tim Donaghy
tt15101938,no,no,no,no,yes,no,7,"Brocker Way, Chapman Way, Stacey Gardner"
tt15101956,no,no,no,no,yes,no,7,Chapman Way
tt15119676,no,yes,no,no,no,no,7,Peter Baláz
tt15255876,no,yes,no,no,no,no,7,"Jessie Camacho, Jonathan Avigdori"
tt15303262,no,yes,no,no,no,no,7,Chantal Herman
tt1536445,no,no,no,no,no,no,7,Skip Emerson
tt15388610,no,yes,no,no,no,no,7,"Tori Kelly, Marlee Grace Becker"
tt15390756,no,no,no,no,yes,no,7,Kelly Clark
tt15412176,no,yes,no,no,no,no,7,Chandler Massey
tt15546534,no,no,no,no,no,no,8,"Ingrid Marie Rivera, Luis O. Rosado"
tt15613538,no,yes,no,no,no,no,7,Kareem Mahmoud Abdel Aziz
tt1564945,no,yes,no,no,no,no,7,"Jeanne Marie Spicuzza, Guy Hoffman"
tt15684042,no,no,no,no,yes,no,7,"Daniele De Rossi, Giorgio Chiellini, Leonardo Bonucci, Marco Verratti"
tt15721032,no,no,yes,no,yes,no,7,"Andy Ostroy, Sophie Ostroy"
tt15826210,no,yes,no,no,no,no,8,Soumya Shetty
tt1587310,no,no,no,no,no,no,7,"Angelina Jolie, Sandy Fox, Lesley Manville, Sam Riley, Oliver Maltman, Elspeth Brodie, Jamie Maclachlan, Adam Bond, Peter G. Reed, Sian Angharad Anthony, Vivienne Jolie-Pitt, Kara Lily Hayworth, Eleanor Worthington-Cox, Isobelle Molloy"
tt1597028,no,no,no,no,yes,no,7,Cynthia Basinet
tt1618448,no,no,no,no,yes,yes,8,Leilani Münter
tt1640718,yes,yes,no,no,no,no,7,Damien Rice
tt1679276,no,no,no,no,no,no,7,"Ursela Monn, Babette Winter, Juri Winkler, Anton Petzold"
tt1690953,yes,no,no,no,no,no,7,"April Winchell, Andrew Driscoll, Pharrell Williams, Miranda Cosgrove, Nasim Pedrad, Pierre Coffin, Elsie Fisher, Arisa, Casey Simpson"
tt1702014,no,yes,no,no,no,no,7,"Eucir de Souza, Isabela Guasco, Tess Amorim, Fabio Audi, Ghilherme Lobo"
tt1714206,no,yes,no,no,no,no,7,"Andrew Lauren, Shawn Levy, Andre Royo, Nicci Roessler, Masam Holden, Miles Teller"
tt1737680,no,no,no,no,no,no,7,"Jay Sutherland, Anthony Phillips"
tt1772321,no,yes,no,no,no,no,7,Travis Case
tt1778931,no,no,yes,no,yes,no,7,"Jinkee Pacquiao, Freddie Roach"
tt1800338,no,yes,yes,no,no,no,7,"Ingeborg Ansing, Moniek Kramer, Saskia Rinsma, Ariane Schluter, Maartje Remmers, Isis Cabolet, Sallie Harmsen, Sophia Wezer"
tt1817232,yes,no,no,no,no,no,7,"Jennifer L. Hughes, Jeff 'Swampy' Marsh, Dan Povenmire, Sarah Hudson, Kyler Spears"
tt1857766,no,yes,no,no,no,no,7,Benjamin de Lajarte
tt1865505,yes,yes,no,no,no,no,8,"Jon Kenny, Nolwenn Leroy, Lisa Hannigan, Vladimir Angelove"
tt1969062,no,yes,no,no,no,no,7,"China Forbes, Mary O'Rourke"
tt1982759,no,no,no,no,no,no,7,Jack W. Carter
tt1988768,no,no,no,no,no,no,7,Antoinette Alexandrou
tt1995458,no,no,no,no,no,no,7,"Erik-Michael Estrada, Kristin VanOvan"
tt2008655,no,yes,no,no,no,no,7,"Peter Biagi, Andy Luther, Ken Hackney, William Tanoos"
tt2063626,no,yes,no,no,no,no,7,"Allyson Rice, Jinx Titanic"
tt2063745,no,yes,no,yes,no,no,7,Manu Rishi Chadha
tt2073600,no,yes,no,no,no,no,7,Marie Miller
tt2082155,no,no,no,no,no,no,7,Jaime Camil
tt2084953,no,no,no,no,yes,yes,7,Mark Zuckerberg
tt2096673,yes,no,no,no,no,no,8,"Diane Lane, Kyle MacLachlan, Paula Poundstone, Lori Alan, Mary Gibbs, Bill Hader, Richard Kind, Sherry Lynn, Bret 'Brook' Parker, Amy Poehler, Phyllis Smith, Paula Pell, Victor Navone, Mindy Kaling, Elissa Knight, Simon Rich, Nick Pitera, Kaitlyn Dias, Domee Shi"
tt2122283,no,yes,no,no,no,no,8,Jake Morgan-Scharhon
tt2124181,no,yes,no,no,no,no,8,Kris Lienert
tt2125430,no,yes,no,no,no,no,7,"Markus Potter, Jessica Rich, Melvin Breedlove, Travis Dahlhauser"
tt2126311,no,no,no,no,no,no,8,"Matt Pick, Chris Barrett, Mike Dusi"
tt2172935,no,no,no,no,no,no,7,"Nimród Antal, James Hetfield, Jeremy Raymond, Dan McLean, Kiwi O'Gorman"
tt2179116,no,yes,no,no,no,no,7,"Megan Mullally, Matt Waldeck, Moises Arias, Gabriel Basso, Andrew VanWyngarden, Nick Robinson, Lili Reinhart"
tt2182121,no,yes,no,no,no,no,7,"Gergely Pohárnok, Roland Rába"
tt2186781,no,yes,no,no,no,no,7,"Reed Luplau, Ryan Steele"
tt2202928,no,yes,no,no,no,no,7,Colleen Rennison
tt2210769,no,no,no,no,no,no,7,"Mariann Kocsis, Dezsö Rancsó, Rodrigo Crespo, Szabolcs Bede Fazekas, Mónika Balsai, Károly Ujj Mészáros, David Sakurai, Sándor Szûcs, Nóra Diána Takács, Ambrus Tövisházi, Andrea Balázs, Orsolya Mihályi, Kata Losonczi, Klára Jarábik, László Nádasi"
tt2231208,yes,no,no,no,no,no,7,"André Frateschi, Rogério Brito, Roly Gutiérrez"
tt2233268,no,yes,no,no,no,no,8,Anna Silvetti
tt2246565,no,no,yes,no,yes,no,7,José Alvarez
tt2250426,no,no,yes,no,yes,no,7,Simon Howard
tt2261749,no,yes,no,no,no,no,7,"Rita Blanco, Cécile Rebboah, Maria Vieira, Barbara Cabrita, Jean-Pierre Martins, Pauleta, Lannick Gautry, Alice Isaaz"
tt2262227,yes,no,no,no,no,no,7,"Sadie Benning, Kate del Castillo, Gabriel Iglesias, Diego Luna, Ben Gleib, Sandra Echeverría, Sean Ermey, Doug Hogan, Jack Crivelli, Marcus Mumford, Gizem Gülen, Maximilian Ehrenreich"
tt2263944,yes,no,no,no,no,no,7,"John Burgmeier, Charles C. Campbell, Chris Cason, Shigeru Chiba, Cynthia Cranz, Tôru Furuya, Ryô Horikawa, Chuck Huber, Miki Itô, Yôko Kawanami, Takeshi Kusao, Josh Martin, Meredith McCoy, Mike McFarland, Hikaru Midorikawa, Yûko Minaguchi, Yûji Mitsuya, Christopher Sabat, Sean Schemmel, Kôzô Shioya, Mark Stoddard, Sonny Strait, Mayumi Tanaka, Naoki Tatsuta, Naoko Watanabe, Kent Williams, Eiko Yamada, Ryûzaburô Ôtomo, Kyle Hebert, Justin Cook, Masakazu Morita, Chris Rager, Kara Edwards, Ian Sinclair, Bradford Jackson, Aya Hirano, Colleen Clinkenbeard, Shôko Nakagawa, Rawly Pickens, Scott Freeman, Aaron Roberts"
